,b0,b1,r2,coeff,intercept,class
0,411.79,833.29,0.7712680786083165,-2.53695305162954,351.5487309544065,0
1,411.79,769.7,0.8177383347727788,-2.4030046541545285,338.94501874785897,4
2,577.74,678.51,0.8067301101880398,-164.4210617573901,451.2060350509862,2
3,411.79,733.27,0.8077443661542121,-2.4215182536410462,317.3140507476396,4
4,577.74,678.51,0.7698795157321657,-173.52709096297897,472.58361101839375,2
5,577.74,678.51,0.8021528331139709,-171.25636835025293,464.2457628109364,2
6,568.56,669.37,0.7942657898636003,-137.03246414671816,422.0343607771112,2
7,577.74,678.51,0.8007841897282719,-174.13553861328796,467.4881751117631,2
8,411.79,833.29,0.7949243156334147,-2.456225593988477,342.2606321612886,0
9,411.79,733.27,0.8118834012072643,-2.3977661528336043,317.51923588604825,4
10,411.79,769.7,0.7876738395977789,-2.445479627767894,340.8911106309678,4
11,411.79,733.27,0.8075684697589487,-2.39137315357294,318.59012722702835,4
12,577.74,678.51,0.8123593797133395,-161.37445299521357,441.7820792376628,2
13,411.79,733.27,0.8189855217455151,-2.388022167820865,318.1522709827572,4
14,577.74,678.51,0.8074160757773899,-168.0645300446346,459.9984927767358,2
15,411.79,769.7,0.8313185757745543,-2.326992984329842,332.4858331352684,4
16,411.79,733.27,0.7939225346469274,-2.452496651281609,319.83481236254454,4
17,411.79,733.27,0.7936289108221672,-2.413123096445837,315.90919470016377,4
18,833.29,905.72,0.7703187932590967,256.7711000504921,-94.56521086393158,1
19,421.04,733.27,0.7847810088910403,-2.588135310391848,319.10177128548014,4
20,411.79,733.27,0.7870107098481214,-2.463683857460084,325.1563766554156,4
21,411.79,733.27,0.8054568170905434,-2.4312436063559506,318.9978790439968,4
22,411.79,733.27,0.7958724698722499,-2.47261417231886,324.7523492533729,4
23,411.79,733.27,0.807336054724553,-2.411055472331216,318.22562659246853,4
24,411.79,733.27,0.7868044714390741,-2.371941712719309,312.273805175839,4
25,411.79,733.27,0.7660453174740428,-2.4411159761058934,322.0330437256439,4
26,411.79,733.27,0.7994929486958688,-2.450207395830263,319.2531803061904,4
27,411.79,733.27,0.7893151974337259,-2.436681802292261,320.52080305148047,4
28,577.74,678.51,0.7985104256452902,-164.9193735359442,451.7669779590653,2
29,411.79,733.27,0.7750642453766874,-2.4297988263226227,320.7089561598086,4
30,411.79,733.27,0.7816786984723915,-2.3793105060195927,316.47272687145335,4
31,614.44,696.78,0.7677779633554093,-355.35092362682514,655.33249249501,5
32,411.79,833.29,0.8027375097657546,-2.537214189658625,351.2154398496882,0
33,411.79,833.29,0.7583095304192333,-2.5283487090945864,350.0477024483471,0
34,577.74,678.51,0.7652195141624075,-176.03439891419728,471.5449787987484,2
35,411.79,733.27,0.7837916887216354,-2.395579330394072,318.580666362386,4
36,577.74,678.51,0.771968077915477,-170.48587183170906,463.4864958652128,2
37,411.79,733.27,0.8248604218324684,-2.642181364086837,336.1947581541411,4
38,605.27,678.51,0.7905409650914821,-321.8984425854831,603.1160777774821,5
39,411.79,733.27,0.8195420229016919,-2.423629393965632,318.98646947843207,4
40,421.04,733.27,0.825717464912872,-2.4783225603958177,313.0674717028039,4
41,411.79,733.27,0.7866655359282131,-2.394399311992486,317.8831206583143,4
42,411.79,733.27,0.8276296241553365,-2.3991130088433987,321.26950258910546,4
43,411.79,733.27,0.8213608778649085,-2.4375670002379635,319.8259881525474,4
44,411.79,733.27,0.7244883733660042,-2.393794272615737,313.3223281531764,4
45,411.79,733.27,0.7865287481307788,-2.383028571535137,317.6433642936951,4
46,605.27,678.51,0.8031507685051494,-310.3498151168459,585.8392973554,5
47,577.74,678.51,0.7982665748238013,-169.20633177027463,460.5662825217999,2
